head,relation,tail
/m/010016,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0mr_8
/m/010016,/location/hud_county_place/county,/m/0mr_8
/m/010016,/location/hud_county_place/place,/m/010016
/m/010016,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010016,/location/location/contains,/m/05zjtn4
/m/010016,/location/location/time_zones,/m/02fqwt
/m/0100mt,/location/hud_county_place/place,/m/0100mt
/m/0100mt,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0100mt,/location/location/contains,/m/01s7pm
/m/0100mt,/location/location/time_zones,/m/02hczc
/m/0102t4,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0102t4,/location/hud_county_place/place,/m/0102t4
/m/0102t4,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0104lr,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0104lr,/location/hud_county_place/place,/m/0104lr
/m/0104lr,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0104lr,/location/location/time_zones,/m/02fqwt
/m/0105y2,/base/biblioness/bibs_location/country,/m/09c7w0
/m/0105y2,/base/biblioness/bibs_location/state,/m/07b_l
/m/0105y2,/location/hud_county_place/place,/m/0105y2
/m/0105y2,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0105y2,/location/location/contains,/m/01n_g9
/m/0106dv,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0106dv,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0mqs0
/m/0106dv,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/0106dv,/location/location/contains,/m/01tx9m
/m/0106dv,/location/location/time_zones,/m/02fqwt
/m/0108xl,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0108xl,/location/hud_county_place/place,/m/0108xl
/m/0108xl,/location/location/time_zones,/m/02fqwt
/m/0109vk,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/0109vk,/location/hud_county_place/place,/m/0109vk
/m/0109vk,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010bnr,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010bnr,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010bxh,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010bxh,/location/hud_county_place/place,/m/010bxh
/m/010bxh,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010cw1,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010cw1,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0n5j_
/m/010cw1,/location/hud_county_place/county,/m/0n5j_
/m/010cw1,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010cw1,/location/location/time_zones,/m/02hcv8
/m/010dft,/base/biblioness/bibs_location/country,/m/09c7w0
/m/010dft,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0jc6p
/m/010dft,/location/hud_county_place/county,/m/0jc6p
/m/010dft,/location/hud_county_place/place,/m/010dft
/m/010dft,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010dft,/location/location/contains,/m/01nkcn
/m/010dft,/location/location/time_zones,/m/02hczc
/m/010h9y,/location/hud_county_place/county,/m/0jcmj
/m/010h9y,/location/hud_county_place/place,/m/010h9y
/m/010h9y,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010h9y,/location/location/time_zones,/m/02hczc
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01by1l
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01c99j
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01c9jp
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01dk00
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02f6ym
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0c4z8
/m/010hn,/award/award_winner/awards_won./award/award_honor/award_winner,/m/02fn5r
/m/010hn,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010hn,/people/person/gender,/m/02zsn
/m/010hn,/people/person/nationality,/m/09c7w0
/m/010hn,/people/person/place_of_birth,/m/01ktz1
/m/010hn,/people/person/places_lived./people/place_lived/location,/m/01ktz1
/m/010hn,/people/person/places_lived./people/place_lived/location,/m/05jbn
/m/010hn,/people/person/places_lived./people/place_lived/location,/m/0_xdd
/m/010hn,/people/person/profession,/m/016z4k
/m/010hn,/people/person/profession,/m/02hrh1q
/m/010hn,/people/person/profession,/m/039v1
/m/010hn,/people/person/profession,/m/0n1h
/m/010hn,/people/person/spouse_s./people/marriage/spouse,/m/02fn5r
/m/010m55,/location/hud_county_place/place,/m/010m55
/m/010m55,/location/location/time_zones,/m/02hcv8
/m/010nlt,/base/aareas/schema/administrative_area/administrative_parent,/m/04w58
/m/010nlt,/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer,/m/034x61
/m/010p3,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010p3,/influence/influence_node/influenced_by,/m/014z8v
/m/010p3,/people/person/employment_history./business/employment_tenure/company,/m/02975m
/m/010p3,/people/person/gender,/m/05zppz
/m/010p3,/people/person/nationality,/m/09c7w0
/m/010p3,/people/person/places_lived./people/place_lived/location,/m/030qb3t
/m/010p3,/people/person/profession,/m/015cjr
/m/010p3,/people/person/profession,/m/018gz8
/m/010p3,/people/person/profession,/m/019x4f
/m/010p3,/people/person/profession,/m/03gjzk
/m/010p3,/people/person/profession,/m/08z956
/m/010p3,/people/person/profession,/m/0dxtg
/m/010p3,/people/person/profession,/m/0np9r
/m/010p3,/people/person/religion,/m/0kpl
/m/010p3,/people/person/spouse_s./people/marriage/type_of_union,/m/04ztj
/m/010p3,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,/m/06hwzy
/m/010r6f,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010r6f,/location/hud_county_place/county,/m/0mmpz
/m/010r6f,/location/hud_county_place/place,/m/010r6f
/m/010r6f,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010r6f,/location/location/time_zones,/m/02lcqs
/m/010rvx,/location/hud_county_place/county,/m/0mmpm
/m/010rvx,/location/hud_county_place/place,/m/010rvx
/m/010rvx,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010rvx,/location/location/time_zones,/m/02lcqs
/m/010t4v,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010t4v,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0mlzk
/m/010t4v,/location/hud_county_place/county,/m/0mlzk
/m/010t4v,/location/hud_county_place/place,/m/010t4v
/m/010t4v,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010tkc,/common/topic/webpage./common/webpage/category,/m/08mbj5d
/m/010tkc,/location/hud_county_place/county,/m/0mlyj
/m/010tkc,/location/hud_county_place/place,/m/010tkc
/m/010tkc,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010tkc,/location/location/time_zones,/m/02lcqs
/m/010v8k,/base/biblioness/bibs_location/state,/m/081yw
/m/010v8k,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0mlxt
/m/010v8k,/location/hud_county_place/place,/m/010v8k
/m/010v8k,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0jbk9
/m/010v8k,/location/location/contains,/m/01b1mj
/m/010v8k,/location/location/time_zones,/m/02lcqs
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01by1l
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/02grdc
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/07cbcy
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/09sb52
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0f4x7
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/016gr2
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/018db8
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/01wskg
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02d45s
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/06dv3
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/09q5w2
/m/010xjr,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/06dv3
/m/010xjr,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/06mr6
/m/010xjr,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/0h0jz
/m/010xjr,/film/actor/film./film/performance/film,/m/03176f
/m/010xjr,/film/actor/film./film/performance/film,/m/031778
/m/010xjr,/film/actor/film./film/performance/film,/m/03kg2v
/m/010xjr,/film/actor/film./film/performance/film,/m/078mm1
/m/010xjr,/film/actor/film./film/performance/film,/m/09q5w2
/m/010xjr,/film/actor/film./film/performance/film,/m/0_92w
/m/010xjr,/film/actor/film./film/performance/film,/m/0bbgvp
/m/010xjr,/film/actor/film./film/performance/film,/m/0gzy02
/m/010xjr,/people/person/gender,/m/05zppz
/m/010xjr,/people/person/place_of_birth,/m/0fp5z
/m/010xjr,/people/person/places_lived./people/place_lived/location,/m/0p54z
/m/010xjr,/people/person/profession,/m/016z4k
/m/010xjr,/people/person/profession,/m/02hrh1q
/m/010xjr,/people/person/profession,/m/02jknp
/m/010xjr,/people/person/profession,/m/05sxg2
