head,relation,tail,label
/m/011j5x,/award/award_nominee/award_nominations./award/award_nomination/award,/m/05ztrmj,0
/m/0140t7,/music/artist/track_contributions./music/track_contribution/role,/m/06rvn,1
/m/0127m7,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0bdwqv,1
/m/01438g,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/0237fw,1
/m/013zdg,/education/educational_degree/people_with_this_degree./education/education/institution,/m/01n4w_,1
/m/05fgt1,/music/genre/artists,/m/0838y,0
/m/011w20,/people/person/gender,/m/05zppz,1
/m/047yc,/people/person/nationality,/m/09c7w0,0
/m/01b8jj,/music/performance_role/regular_performances./music/group_membership/role,/m/03ndd,0
/m/011k1h,/music/record_label/artist,/m/0qf3p,1
/m/012yc,/music/genre/artists,/m/01vxlbm,1
/m/012mrr,/film/film/music,/m/01438g,0
/m/011yrp,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/0mb5x,0
/m/012wxt,/people/profession/specialization_of,/m/0m2l9,0
/m/013pp3,/influence/influence_node/influenced_by,/m/0379s,1
/m/0136pk,/base/popstra/celebrity/dated./base/popstra/dated/participant,/m/012gx2,0
/m/011w54,/award/award_category/winners./award/award_honor/award_winner,/m/04z0g,1
/m/012x4t,/people/person/profession,/m/02x2gy0,0
/m/02js_6,/people/person/profession,/m/02hrh1q,0
/m/012bk,/people/person/gender,/m/0gkd1,0
/m/02f76h,/people/ethnicity/people,/m/0hskw,0
/m/012mrr,/film/film/cinematography,/m/05br10,1
/m/0140g4,/award/award_winning_work/awards_won./award/award_honor/honored_for,/m/0946bb,1
/m/059rby,/film/film/produced_by,/m/02kxbx3,0
/m/0146mv,/organization/organization/headquarters./location/mailing_address/citytown,/m/030qb3t,1
/m/013ybx,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,/m/02x1dht,0
/m/012d40,/film/actor/film./film/performance/film,/m/01f6x7,1
/m/012gk9,/film/film/prequel,/m/04kjrv,0
/m/0127m7,/award/award_nominee/award_nominations./award/award_nomination/award,/m/0127xk,0
/m/012v9y,/film/actor/film./film/performance/film,/m/013dy7,0
/m/011j5x,/music/genre/artists,/m/0jn5l,1
/m/012x4t,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/016tvq,1
/m/0140g4,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,/m/08984j,1
/m/0146mv,/tv/tv_network/programs./tv/tv_network_duration/program,/m/017dbx,1
/m/011j5x,/music/genre/artists,/m/051hrr,0
/m/0136pk,/base/popstra/celebrity/dated./base/popstra/dated/participant,/m/01xv77,1
/m/013y1f,/music/performance_role/regular_performances./music/group_membership/group,/m/01vtg4q,0
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,/m/04q7r,1
/m/013pk3,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,/m/0159h6,1
/m/01s7zw,/people/person/nationality,/m/09c7w0,0
/m/07y_7,/people/person/profession,/m/039v1,0
/m/010bxh,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/012bk,/location/location/adjoin_s./location/adjoining_relationship/adjoins,/m/07tk7,0
/m/0124k9,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/03mdt,1
/m/09b_0m,/people/person/profession,/m/02jknp,0
/m/010cw1,/location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division,/m/0n5j_,1
/m/0143wl,/people/person/spouse_s./people/marriage/type_of_union,/m/01g63y,1
/m/013807,/education/educational_institution/students_graduates./education/education/major_field_of_study,/m/02822,1
/m/0127m7,/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency,/m/09nqf,1
/m/012mzw,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,/m/03z19,1
/m/013cr,/people/person/profession,/m/02hrh1q,1
/m/01k_mc,/music/genre/artists,/m/012ycy,0
/m/0146pg,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,/m/0f3m1,1
/m/013bd1,/people/person/place_of_birth,/m/02vx4,0
/m/0133jj,/base/aareas/schema/administrative_area/administrative_parent,/m/0h7x,1
/m/011yr9,/award/award_winning_work/awards_won./award/award_honor/honored_for,/m/03d9d6,0
/m/0133k0,/music/genre/parent_genre,/m/0y3_8,1
/m/0147dk,/soccer/football_team/current_roster./soccer/football_roster_position/position,/m/02_j1w,0
/m/012vf6,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/03d9v8,1
/m/012wg,/award/award_nominee/award_nominations./award/award_nomination/award,/m/04njml,1
/m/011ywj,/award/award_winning_work/awards_won./award/award_honor/award_winner,/m/0l6px,1
/m/013cr,/people/person/profession,/m/0jdhp,0
/m/01l_w0,/film/film/language,/m/06nm1,0
/m/010tkc,/common/topic/webpage./common/webpage/category,/m/08mbj5d,1
/m/011zd3,/base/popstra/celebrity/friendship./base/popstra/friendship/participant,/m/019pm_,1
/m/012rng,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,/m/029j_,0
/m/012yc,/music/genre/artists,/m/01w806h,1
/m/0rh6k,/award/award_nominee/award_nominations./award/award_nomination/award,/m/01d38t,0
/m/0100mt,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,/m/0hfzr,0
